wavelength,flux
2810.0,0.07087379
2815.0,0.11277219
2820.0,0.13770881
2825.0,0.14737156
2830.0,0.15715235
2835.0,0.15613432
2840.0,0.14642026
2845.0,0.11896677
2850.0,0.0798778
2855.0,0.0942808
2860.0,0.14947948
2865.0,0.16929343
2870.0,0.16499205
2875.0,0.16338202
2880.0,0.14747506
2885.0,0.17578916
2890.0,0.192715
2895.0,0.19677857
2900.0,0.21335879
2905.0,0.22025402
2910.0,0.22831187
2915.0,0.23448336
2920.0,0.22585063
2925.0,0.21506293
2930.0,0.21834372
2935.0,0.22533819
2940.0,0.22885855
2945.0,0.23323521
2950.0,0.23327711
2955.0,0.24274482
2960.0,0.24252838
2965.0,0.22081436
2970.0,0.22652733
2975.0,0.24472354
2980.0,0.22542971
2985.0,0.21008141
2990.0,0.23132062
2995.0,0.23289129
3000.0,0.21203534
3005.0,0.22083917
3010.0,0.2411964
3015.0,0.2332874
3020.0,0.23040013
3025.0,0.2594234
3030.0,0.2880583
3035.0,0.28749457
3040.0,0.2782065
3045.0,0.286734
3050.0,0.29101062
3055.0,0.2696508
3060.0,0.26734695
3065.0,0.28414276
3070.0,0.30619553
3075.0,0.30850706
3080.0,0.31778398
3085.0,0.3332435
3090.0,0.2821127
3095.0,0.2567577
3100.0,0.27239776
3105.0,0.32304865
3110.0,0.34651297
3115.0,0.32872567
3120.0,0.29581672
3125.0,0.29859537
3130.0,0.3356825
3135.0,0.33703077
3140.0,0.31026423
3145.0,0.28222302
3150.0,0.28204596
3155.0,0.26601666
3160.0,0.28309134
3165.0,0.303357
3170.0,0.3280267
3175.0,0.32498205
3180.0,0.296265
3185.0,0.28909004
3190.0,0.29041603
3195.0,0.30595428
3200.0,0.37153172
3205.0,0.34876207
3210.0,0.33851928
3215.0,0.32720375
3220.0,0.3128504
3225.0,0.29497495
3230.0,0.28723192
3235.0,0.30015662
3240.0,0.31767446
3245.0,0.32481524
3250.0,0.33764243
3255.0,0.37193382
3260.0,0.4113068
3265.0,0.4348045
3270.0,0.4353546
3275.0,0.41445243
3280.0,0.39397547
3285.0,0.39537418
3290.0,0.4180104
3295.0,0.451318
3300.0,0.46711633
3305.0,0.4453544
3310.0,0.41612917
3315.0,0.41115966
3320.0,0.4185297
3325.0,0.42003965
3330.0,0.41602483
3335.0,0.41208273
3340.0,0.41634306
3345.0,0.43201137
3350.0,0.44006747
3355.0,0.4236421
3360.0,0.3967062
3365.0,0.37819344
3370.0,0.37604272
3375.0,0.39100522
3380.0,0.4060798
3385.0,0.40797982
3390.0,0.4160274
3395.0,0.4463057
3400.0,0.46932518
3405.0,0.45682907
3410.0,0.43106517
3415.0,0.42092678
3420.0,0.4313783
3425.0,0.45478356
3430.0,0.4570352
3435.0,0.41469198
3440.0,0.3734335
3445.0,0.37834656
3450.0,0.4030043
3455.0,0.4130118
3460.0,0.4135867
3465.0,0.41614288
3470.0,0.4172405
3475.0,0.41167125
3480.0,0.40200338
3485.0,0.39461964
3490.0,0.40337557
3495.0,0.43508342
3500.0,0.4609106
3505.0,0.45469034
3510.0,0.44379315
3515.0,0.43959266
3520.0,0.42936105
3525.0,0.4228893
3530.0,0.44995522
3535.0,0.48474964
3540.0,0.50477403
3545.0,0.50995576
3550.0,0.5008166
3555.0,0.4844784
3560.0,0.46701536
3565.0,0.4244223
3570.0,0.38994527
3575.0,0.38096437
3580.0,0.3530352
3585.0,0.35384795
3590.0,0.40517724
3595.0,0.46700764
3600.0,0.48881236
3605.0,0.45645005
